loss,val_loss,accuracy,val_accuracy,top_five,test_accuracy,test_top_5_accuracy,mlp_classifer
4.310399982100683,3.8044926822185516,7.511111111111111,19.1,45.85336538461539,66.88,92.28400735294117,False
3.374788138883334,2.930660605430603,25.7,40.3,73.828125,66.88,92.28400735294117,False
2.8344133661148394,2.5090692341327667,38.17777777777778,51.3,82.82001201923077,66.88,92.28400735294117,False
2.543609651267951,2.3399235606193542,45.91111111111111,53.8,84.66796875,66.88,92.28400735294117,False
2.34432109154708,2.2446054816246033,51.87777777777778,56.1,87.93569711538461,66.88,92.28400735294117,False
2.209909941710479,2.1259981989860535,55.4,58.4,88.39393028846153,66.88,92.28400735294117,False
2.1013870864895217,2.066442981362343,58.96666666666667,61.1,88.54417067307692,66.88,92.28400735294117,False
2.015184440511338,2.0558063685894012,61.8,60.3,88.78455528846153,66.88,92.28400735294117,False
1.9379674564016627,1.9757230430841446,65.04444444444445,62.9,90.41466346153847,66.88,92.28400735294117,False
1.8760870517568384,1.9714186787605286,66.24444444444444,63.0,89.88131009615384,66.88,92.28400735294117,False
1.8110113985149572,1.9414670914411545,69.23333333333333,65.4,89.49068509615384,66.88,92.28400735294117,False
1.7649693539802065,1.9414612501859665,71.06666666666666,62.4,90.09915865384616,66.88,92.28400735294117,False
1.7254688815867647,1.9198982119560242,72.21111111111111,65.7,90.85787259615384,66.88,92.28400735294117,False
1.6724398355957464,1.927886351943016,74.23333333333333,63.1,90.17427884615384,66.88,92.28400735294117,False
1.6323038348069427,1.9152094721794128,75.45555555555555,64.3,90.79026442307692,66.88,92.28400735294117,False
1.5973846028882561,1.9017203897237778,76.94444444444444,66.4,91.22596153846153,66.88,92.28400735294117,False
1.5566764203369194,1.8688856810331345,78.35555555555555,64.7,90.42217548076923,66.88,92.28400735294117,False
1.5406450942053016,1.8543781340122223,79.3,68.0,91.07572115384616,66.88,92.28400735294117,False
1.5048425764056808,1.8790017813444138,80.91111111111111,65.6,91.34615384615384,66.88,92.28400735294117,False
1.4819718058227647,1.8893428593873978,81.4,66.6,91.18088942307692,66.88,92.28400735294117,False
